"","raceE1","genderE1","turnoutE1","voteTE1","race","turnout","gender","weightx"
"2576","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2577","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2578","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2579","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2580","Other minority","Female","Voted","Democrats","Non-white","Voter","Female",1
"2581","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2582","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2583","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2584","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2585","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2586","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2587","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2588","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2589","Plurality group","Male","DNV","DNV","White","Nonvoter","Male",1
"2590","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2591","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2592","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2593","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2594","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2595","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2596","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2597","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2598","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2599","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2600","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2601","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2602","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2603","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2604","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2605","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2606","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2607","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2608","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2609","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2610","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2611","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2612","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2613","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2614","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2615","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2616","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2617","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2618","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2619","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2620","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2621","Other minority","Male","Voted","Democrats","Non-white","Voter","Male",1
"2622","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2623","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2624","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2625","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2626","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2627","Plurality group","Male","Voted","Other","White","Voter","Male",1
"2628","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2629","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2630","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2631","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2632","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2633","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2634","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2635","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2636","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2637","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2638","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2639","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2640","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2641","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2642","Other minority","Male","Voted","Democrats","Non-white","Voter","Male",1
"2643","MAR","Male","DNV","DNV","Non-white","Nonvoter","Male",1
"2644","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2645","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2646","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2647","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2648","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2649","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2650","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2651","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2652","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2653","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2654","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2655","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2656","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2657","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2658","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2659","Plurality group","Female","Voted","Republicans","White","Voter","Female",1
"2660","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2661","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2662","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2663","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2664","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2665","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2666","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2667","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2668","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2669","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2670","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2671","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2672","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2673","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2674","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2675","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2676","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2677","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2678","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2679","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2681","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2682","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2683","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2684","Plurality group","Male","Voted",NA,"White","Voter","Male",1
"2685","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2686","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2687","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2688","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2689","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2690","Plurality group","Male","Voted","Republicans","White","Voter","Male",1
"2691","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2692","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2693","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2694","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2695","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2696","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2697","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2698","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2699","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2700","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2701","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2702","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2703","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2704","Plurality group","Female","DNV","DNV","White","Nonvoter","Female",1
"2705","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2706","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2707","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2708","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2709","Plurality group","Female","DNV","DNV","White","Nonvoter","Female",1
"2710","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2711","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2712","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2713","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2714","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2715","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2716","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2717","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2718","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2719","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2720","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2721","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2722","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2723","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2724","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2725","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2726","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2727","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2728","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2729","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2730","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2731","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2732","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2733","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2734","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2735","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2736","Other minority","Male","Voted","Democrats","Non-white","Voter","Male",1
"2737","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2738","Other minority","Male","Voted","Democrats","Non-white","Voter","Male",1
"2739","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2740","Other minority","Male","Voted","Democrats","Non-white","Voter","Male",1
"2742","Other minority","Male","Voted","Democrats","Non-white","Voter","Male",1
"2743","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2744","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2745","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2746","Other minority","Female","Voted","Democrats","Non-white","Voter","Female",1
"2747","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2748","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2749","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2750","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2751","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2752","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2753","Plurality group","Female","Voted",NA,"White","Voter","Female",1
"2754","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2755","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2756","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2757","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2758","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2759","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2760","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2761","Other minority","Male","Voted","Democrats","Non-white","Voter","Male",1
"2762","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2763","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2764","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2765","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2766","MAR","Female","DNV","DNV","Non-white","Nonvoter","Female",1
"2767","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2768","Plurality group","Female","DNV","DNV","White","Nonvoter","Female",1
"2769","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2770","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2771","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2772","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2773","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2774","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2775","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2776","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2777","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2778","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2779","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2780","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2781","Other minority","Male","Voted","Democrats","Non-white","Voter","Male",1
"2782","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2783","Plurality group","Male","DNV","DNV","White","Nonvoter","Male",1
"2784","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2785","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2786","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2788","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2789","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2790","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2791","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2792","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2793","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2794","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2795","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2796","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2797","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2798","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2799","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2800","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2801","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2802","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2803","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2804","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2805","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2806","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2807","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2808","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2809","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2810","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2811","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2812","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2813","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2814","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2815","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2816","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2817","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2818","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2819","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2820","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2821","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2822","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2823","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2824","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2825","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2826","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2827","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2828","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2829","Other minority","Male","Voted","Democrats","Non-white","Voter","Male",1
"2830","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2831","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2832","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2833","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2834","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2835","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2836","MAR","Female","DNV","DNV","Non-white","Nonvoter","Female",1
"2837","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2838","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2839","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2840","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2841","Other minority","Female","Voted","Democrats","Non-white","Voter","Female",1
"2842","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2843","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2844","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2845","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2846","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2847","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2848","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2849","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2850","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2851","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2852","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2853","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2854","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2855","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2856","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2857","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2858","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2859","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2860","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2861","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2862","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2863","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2864","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2865","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2866","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2867","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2868","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2869","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2870","Other minority","Female","Voted","Democrats","Non-white","Voter","Female",1
"2871","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2872","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2873","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2874","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2875","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2876","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2877","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2878","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2879","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2880","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2881","MAR","Male","DNV","DNV","Non-white","Nonvoter","Male",1
"2882","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2883","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2884","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2885","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2886","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2887","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2888","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2889","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2890","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2891","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2892","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2893","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2894","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2895","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2896","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2897","Other minority","Male","Voted","Democrats","Non-white","Voter","Male",1
"2898","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2900","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2901","Other minority","Female","DNV","DNV","Non-white","Nonvoter","Female",1
"2902","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2903","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2904","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2905","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2906","Plurality group","Male","DNV","DNV","White","Nonvoter","Male",1
"2907","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2908","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2909","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2910","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2911","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2912","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2913","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2914","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2915","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2916","Plurality group","Female","Voted","Republicans","White","Voter","Female",1
"2917","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2918","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2919","Other minority","Female","Voted","Democrats","Non-white","Voter","Female",1
"2920","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2921","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2922","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2923","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2924","Plurality group","Female","Voted","Republicans","White","Voter","Female",1
"2925","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2926","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2927","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2928","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2929","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2930","Other minority","Male","Voted","Democrats","Non-white","Voter","Male",1
"2931","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2932","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2933","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2934","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2935","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2936","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2937","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2938","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2939","Plurality group","Female","DNV","DNV","White","Nonvoter","Female",1
"2940","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2941","Plurality group","Male","Voted","Republicans","White","Voter","Male",1
"2942","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2943","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2944","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2945","Plurality group","Male","Voted","Republicans","White","Voter","Male",1
"2946","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2947","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2948","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2949","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2950","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2951","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2952","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2953","Other minority","Male","Voted","Democrats","Non-white","Voter","Male",1
"2954","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2955","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2956","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2957","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2958","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2959","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2960","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2961","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2962","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2963","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"2964","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2965","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2966","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2968","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2969","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2970","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2971","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2972","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2973","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2974","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2975","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2976","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2977","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2978","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2979","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2980","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2981","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2982","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2983","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2984","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2985","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2986","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"2987","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2988","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2989","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2990","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2991","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2993","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2994","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2995","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2996","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2997","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"2998","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2999","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
